SPEAKER	VOWEL	F0	F1	F2	F3
W	i	270.52	295	2686	3370
W	u	240.54	279	763	2759
W	i	228.52	261	2547	3450
W	i	254.06	316	2520	3437
W	u	238.05	273	764	2590
W	a	209.54	785	1559	2822
W	u	228.89	311	784	2760
W	a	214.91	860	1470	2611
W	i	226.21	397	2394	3345
W	u	226.11	298	946	2401
W	u	256.76	291	938	2777
W	u	232.84	318	1080	2975
W	u	239.50	267	799	2704
W	u	239.14	349	718	2844
W	a	234.40	785	1578	2936
W	i	249.82	270	2608	3537
W	u	239.85	291	917	2790
W	a	235.84	755	1673	2961
W	u	245.87	303	973	2432
W	a	225.47	932	1526	2917
W	i	222.12	246	2592	3549
W	a	222.94	882	1438	2915
W	u	239.53	293	1255	2946
W	a	225.84	712	1659	2928
W	i	226.97	251	2529	3536
W	a	223.94	812	1669	2822
W	i	243.88	346	2484	3359
W	u	254.71	335	734	2688
W	a	250.46	783	1737	2618
W	a	228.78	888	1594	2801
W	i	250.27	270	2597	3084
W	u	238.09	303	751	2801
W	a	224.32	813	1594	2793
W	i	237.38	259	2474	3489
W	u	243.16	274	845	2681
W	i	233.04	261	2562	3415
W	a	215.80	749	1600	2705
W	i	220.94	274	2565	3384
W	a	226.31	850	1627	2899
W	a	219.94	829	1640	2825
W	i	242.36	368	2374	3195
W	i	237.62	279	2514	3316
W	i	239.31	357	2637	3468
W	u	242.63	316	1191	3030
W	u	249.49	323	808	2899
W	i	237.39	393	2373	3322
W	i	245.53	345	2644	3356
W	u	242.95	357	691	2787
W	a	241.61	838	1587	2771
W	@	186.55	499	1657	3107
W	a	233.74	773	1680	2784
W	a	227.55	764	1553	2898
W	i	236.03	313	2540	3313
W	u	232.17	352	706	2776
W	a	230.05	839	1640	2875
W	i	245.33	269	2602	3269
W	a	204.87	824	1410	2750
W	i	282.78	305	2653	3381
W	u	258.96	278	775	2659
W	i	247.92	280	2435	3423
W	i	255.79	325	2500	3378
W	u	258.19	285	791	2626
W	a	217.49	828	1539	2899
W	u	248.02	322	875	2825
W	a	237.72	859	1483	2889
W	i	245.23	391	2353	3322
W	u	242.48	289	744	2665
W	u	253.73	282	855	2779
W	u	253.76	349	1021	2806
W	u	244.48	277	803	2768
W	u	255.60	337	820	2751
W	a	260.92	845	1470	2951
W	i	263.26	283	2535	3462
W	u	276.99	317	982	2863
W	a	235.24	819	1676	3095
